race_date,venue_code,race_number,grade,is_night,predicted_rank_1_racer,predicted_rank_1_probability,actual_rank_1_racer,actual_kimarite,entry_course_actual,entry_course_program,race_weather_number,race_wind,race_wind_direction_number,race_wave,race_temperature,race_water_temperature,motor_2rate,motor_3rate,racer_id,start_timing,hit_top1,hit_top2,brier_score
2026-09-16,4,1,5,0,1,0.5125,3,5,1,1,3,0,17,3,22,26,25.37,35.82,4976,0.21,0,1,0.1648
2026-09-16,4,2,5,0,1,0.5645,3,4,1,1,3,2,13,3,22,26,34.48,51.72,4272,0.26,0,0,0.1803
2026-09-16,4,3,5,0,1,0.4812,2,2,1,1,3,3,13,3,22,26,30.88,45.59,5237,0.1,0,0,0.1699
2026-09-16,4,4,5,0,1,0.4953,1,1,1,1,3,2,13,3,22,26,34.78,47.83,3857,0.04,1,1,0.0567
2026-09-16,4,5,5,0,1,0.537,1,5,1,1,3,3,13,3,22,26,23.33,40,4082,0.14,1,1,0.0468
2026-09-16,4,6,5,0,1,0.5762,5,3,1,1,3,2,13,3,22,26,36.54,51.92,3105,0.22,0,0,0.1977
2026-09-16,4,7,5,0,1,0.4181,4,4,1,1,3,2,13,3,22,26,24.56,43.86,3951,0.15,0,1,0.1333
2026-09-16,5,1,2,0,1,0.4697,1,1,1,1,3,1,15,2,21,25,43.75,61.25,4335,0.04,1,1,0.0588
2026-09-16,5,2,2,0,1,0.4756,2,2,1,1,3,2,3,2,21,25,33.67,51.02,4787,0.18,0,0,0.1686
2026-09-16,5,3,2,0,1,0.383,1,1,1,1,3,3,3,2,21,25,22.58,39.78,4084,0.07,1,1,0.0777
2026-09-16,5,4,2,0,1,0.4233,1,1,1,1,3,3,5,2,21,25,37,55,4030,0.09,1,1,0.0683
2026-09-16,5,5,2,0,1,0.4256,1,1,1,1,3,2,3,2,21,24,46.08,57.84,4064,0.13,1,1,0.069
2026-09-16,5,6,2,0,1,0.419,2,2,1,1,3,2,3,2,21,25,41.38,59.48,3984,0.12,0,0,0.157
2026-09-16,5,7,2,0,1,0.4345,2,2,1,1,3,2,3,2,22,25,33.33,50,4297,0.12,0,0,0.1746
2026-09-16,5,8,2,0,1,0.5015,1,1,1,1,3,2,3,2,22,25,30.59,50.59,4719,0.06,1,1,0.0507
2026-09-16,8,1,5,0,1,0.7391,1,1,1,1,3,1,13,1,23,28,34.1,49.77,5129,0.18,1,1,0.0148
2026-09-16,8,2,5,0,1,0.6047,1,1,1,1,2,1,13,1,23,28,37.79,52.53,4764,0.13,1,1,0.0354
2026-09-16,8,3,5,0,1,0.4538,1,1,1,1,3,0,17,0,23,27,32.3,48.67,4534,0.22,1,1,0.0654
2026-09-16,8,4,5,0,1,0.5577,1,1,1,1,3,1,7,1,23,27,41.33,60,4941,0.21,1,1,0.0405
2026-09-16,8,5,5,0,1,0.582,4,3,1,1,3,1,11,1,23,27,34.45,58.82,4190,0.21,0,1,0.1921
2026-09-16,8,6,5,0,1,0.6461,1,1,1,1,2,0,17,0,23,27,30.39,46.57,5146,0.15,1,1,0.028
2026-09-16,8,7,5,0,1,0.5862,4,3,1,1,2,0,17,0,23,27,38.91,56.9,5079,0.14,0,0,0.2073
2026-09-16,9,1,5,0,1,0.6645,1,1,1,1,3,0,17,0,23,25,22.12,38.46,3900,0.19,1,1,0.0245
2026-09-16,9,2,5,0,1,0.5813,1,1,1,1,3,0,17,0,23,25,38.78,57.14,3268,0.18,1,1,0.0369
2026-09-16,9,3,5,0,1,0.6814,1,1,1,1,3,0,17,0,23,25,45.59,62.5,4644,0.12,1,1,0.0209
2026-09-16,9,4,5,0,1,0.507,1,1,1,1,3,0,17,0,23,25,33.52,51.4,4423,0.13,1,1,0.0511
2026-09-16,9,5,5,0,1,0.6341,1,1,1,1,3,0,17,0,23,25,39.23,55.38,4824,0.08,1,1,0.0285
2026-09-16,9,6,5,0,1,0.6371,1,1,1,1,3,0,17,0,24,25,26,48,4581,0.05,1,1,0.027
2026-09-16,11,1,5,0,1,0.4635,3,2,1,1,2,0,17,1,23,26,29.29,43.43,3797,0.14,0,0,0.1682
2026-09-16,11,2,5,0,1,0.4496,2,2,1,1,2,1,15,1,23,26,31.31,49.49,4747,0.27,0,1,0.1475
2026-09-16,11,3,5,0,1,0.4708,1,1,1,1,2,1,15,1,23,26,30.61,50,3793,0.19,1,1,0.0578
2026-09-16,11,4,5,0,1,0.4264,2,2,1,1,2,3,15,2,23,26,28.57,44.9,4766,0.13,0,1,0.121
2026-09-16,11,5,5,0,1,0.4404,2,2,1,1,2,2,15,2,23,26,40.86,51.61,5011,0.15,0,1,0.1283
2026-09-16,11,6,5,0,1,0.579,1,1,1,1,2,2,15,2,23,26,36.17,59.57,4124,0.13,1,1,0.0374
2026-09-16,11,7,5,0,1,0.5895,1,1,1,1,3,3,13,2,23,26,22.92,40.63,5055,0.15,1,1,0.0361
2026-09-16,11,8,5,0,1,0.4268,1,1,1,1,3,1,13,1,22,26,36.56,50.54,4821,0.19,1,1,0.0699
2026-09-16,13,1,5,0,1,0.5569,1,1,1,1,2,2,4,0,24.4,25.3,29.31,47.41,4211,0.12,1,1,0.0454
2026-09-16,13,2,5,0,1,0.3816,2,5,1,1,3,0,17,0,24.1,25.3,53.1,67.26,3372,0.22,0,1,0.1323
2026-09-16,13,3,5,0,1,0.5782,3,4,1,1,3,1,10,0,23,25.3,24.3,40.19,3687,0.1,0,1,0.1704
2026-09-16,13,4,5,0,1,0.3321,2,2,1,1,3,2,6,0,22.7,25.2,29.2,43.36,4097,0.14,0,1,0.1225
2026-09-16,13,5,5,0,1,0.6021,1,1,1,1,3,2,6,0,22.6,25.2,24.32,45.95,3908,0.09,1,1,0.0329
2026-09-16,13,6,5,0,1,0.6894,1,1,1,1,3,0,17,0,22.8,25.2,38.18,50.91,4584,0.08,1,1,0.0207
2026-09-16,13,7,5,0,1,0.4522,2,2,1,1,3,1,6,0,22.9,25.2,35.71,52.68,3690,0.16,0,1,0.1404
2026-09-16,13,8,5,0,1,0.4842,1,1,1,1,3,0,17,0,23.1,25.2,23.58,41.51,3992,0.17,1,1,0.0555
2026-09-16,14,1,5,0,1,0.7991,1,1,1,1,3,1,5,1,23,27,53.01,69.88,4413,0.07,1,1,0.0086
2026-09-16,14,2,5,0,1,0.4739,5,4,1,1,3,1,5,1,23,27,31.11,53.33,5144,0.06,0,0,0.1801
2026-09-16,14,3,5,0,1,0.6115,1,1,1,1,3,2,5,2,23,27,37.04,56.79,4102,0.13,1,1,0.0314
2026-09-16,14,4,5,0,1,0.7508,1,1,1,1,3,3,11,3,22,27,31.33,44.58,3612,0.21,1,1,0.013
2026-09-16,14,5,5,0,1,0.5407,3,3,1,1,3,2,9,2,23,27,33.33,56.79,5264,0.18,0,0,0.1816
2026-09-16,14,6,5,0,1,0.6553,1,1,1,1,2,2,11,2,23,27,33.77,46.75,4906,0.18,1,1,0.0249
2026-09-16,14,7,5,0,1,0.447,5,4,1,1,2,3,11,3,23,27,38.36,49.32,5039,0.3,0,0,0.1647
2026-09-16,14,8,5,0,1,0.4446,1,1,1,1,3,1,11,1,23,27,25.61,51.22,3224,0.06,1,1,0.0664
2026-09-16,14,9,5,0,1,0.5923,3,3,1,1,3,1,5,1,23,27,26.19,40.48,3327,0.17,0,0,0.1923
2026-09-16,14,10,5,0,1,0.4404,1,1,1,1,3,0,17,1,23,27,44.3,54.43,3907,0.11,1,1,0.0645
2026-09-16,14,11,5,0,1,0.4796,2,2,1,1,2,2,5,2,23,27,34.94,54.22,4550,0.04,0,1,0.1519
2026-09-16,14,12,5,0,1,0.5968,1,1,1,1,3,1,5,1,23,27,35.53,51.32,4737,0.18,1,1,0.0338
2026-09-16,18,1,2,0,1,0.476,1,1,1,1,1,4,5,4,28,27,40.23,64.37,4928,0.04,1,1,0.056
2026-09-16,18,2,2,0,1,0.4315,2,2,1,1,1,5,5,5,28,27,28.57,50.89,4566,0.14,0,0,0.1654
2026-09-16,18,3,2,0,1,0.4404,1,1,1,1,1,5,5,5,28,27,35.51,46.73,4547,0.16,1,1,0.0645
2026-09-16,18,4,2,0,1,0.4791,1,1,1,1,1,5,5,5,28,27,34.95,53.4,4397,0.11,1,1,0.0559
2026-09-16,18,5,2,0,1,0.4378,1,5,1,1,1,4,5,4,28,27,24.44,40,4739,0.13,1,1,0.0659
2026-09-16,18,6,2,0,1,0.4413,1,5,1,1,1,5,3,5,28,27,36.36,63.64,5084,0.12,1,1,0.0646
2026-09-16,18,7,2,0,1,0.4941,4,2,1,1,1,5,5,5,28,27,31.31,54.55,4831,0.12,0,0,0.1825
2026-09-16,22,1,5,0,1,0.7529,1,1,1,1,2,3,10,3,27,26,22.11,40,4856,0.21,1,1,0.013
2026-09-16,22,2,5,0,1,0.4292,2,2,1,1,2,3,10,3,27,26,30.47,45.31,3801,0.24,0,1,0.1344
2026-09-16,22,3,5,0,1,0.5906,1,1,1,1,1,3,10,3,27,26,36.36,53.03,4948,0.06,1,1,0.0407
2026-09-16,22,4,5,0,1,0.4281,1,1,1,1,1,4,10,4,27,26,39.64,60.36,4951,0.14,1,1,0.0723
2026-09-16,22,5,5,0,1,0.53,1,1,1,1,1,4,10,4,27,26,48.36,63.11,5125,0.19,1,1,0.0488
2026-09-16,23,1,5,0,1,0.693,1,1,1,1,1,5,4,5,25,25,0,0,3484,0.03,1,1,0.0202
2026-09-16,23,2,5,0,1,0.6924,1,1,1,1,1,5,4,5,25,25,0,0,3679,0.11,1,1,0.0213
