date,stadium_number,race_number,rank,bet_type,combination,amount,estimated_probability,hit,payout_per_100,return
2026-09-17,14,1,A,3連単,1-5-3,400,0.0896,0,,0
2026-09-17,14,1,A,3連単,1-3-5,400,0.0892,0,,0
2026-09-17,14,1,A,3連単,1-5-2,400,0.0887,0,,0
2026-09-17,14,1,A,3連単,1-2-5,300,0.0879,0,,0
2026-09-17,14,1,A,3連単,1-3-2,300,0.0873,0,,0
2026-09-17,14,1,A,2連単,1-5,400,0.2203,0,,0
2026-09-17,14,1,A,2連単,1-3,400,0.2179,0,,0
2026-09-17,14,1,A,2連単,1-2,400,0.2157,1,260,1040
2026-09-17,8,2,S,2連単,1-3,1600,0.332,0,,0
2026-09-17,8,2,S,2連単,1-2,1100,0.237,1,200,2200
2026-09-17,8,2,S,2連単,3-1,500,0.0978,0,,0
2026-09-17,8,2,S,2連単,1-5,400,0.0799,0,,0
2026-09-17,8,2,S,3連単,1-3-2,800,0.1928,0,,0
2026-09-17,8,2,S,3連単,1-2-3,600,0.1564,0,,0
2026-09-17,9,1,S,2連単,1-3,500,0.2091,0,,0
2026-09-17,9,1,S,2連単,1-2,500,0.1769,0,,0
2026-09-17,9,1,S,2連単,1-4,400,0.1715,0,,0
2026-09-17,9,1,S,2連単,1-5,200,0.0907,1,480,960
2026-09-17,9,1,S,2連単,3-1,200,0.0682,0,,0
2026-09-17,9,1,S,2連単,2-1,200,0.0569,0,,0
2026-09-17,9,1,S,3連単,1-3-2,500,0.075,0,,0
2026-09-17,9,1,S,3連単,1-3-4,500,0.0727,0,,0
2026-09-17,9,1,S,3連単,1-2-3,400,0.0704,0,,0
2026-09-17,9,1,S,3連単,1-4-3,400,0.0675,0,,0
2026-09-17,9,1,S,3連単,1-2-4,400,0.0577,0,,0
2026-09-17,9,1,S,3連単,1-4-2,400,0.0571,0,,0
2026-09-17,9,1,S,3連単,1-3-5,200,0.0384,0,,0
2026-09-17,9,1,S,3連単,1-5-3,200,0.031,0,,0
2026-09-17,8,1,A,3連単,1-3-4,400,0.1124,0,,0
2026-09-17,8,1,A,3連単,1-4-3,400,0.1024,0,,0
2026-09-17,8,1,A,3連単,1-3-2,400,0.0884,0,,0
2026-09-17,8,1,A,3連単,1-2-3,300,0.074,0,,0
2026-09-17,8,1,A,3連単,1-4-2,300,0.0661,1,1230,3690
2026-09-17,8,1,A,2連単,1-3,500,0.2501,0,,0
2026-09-17,8,1,A,2連単,1-4,400,0.2053,1,490,1960
2026-09-17,8,1,A,2連単,1-2,300,0.1614,0,,0
2026-09-17,16,1,S,2連単,1-3,900,0.2357,0,,0
2026-09-17,16,1,S,2連単,1-2,800,0.2256,0,,0
2026-09-17,16,1,S,2連単,1-4,500,0.1338,0,,0
2026-09-17,16,1,S,2連単,3-1,300,0.0781,0,,0
2026-09-17,16,1,S,3連単,1-3-2,800,0.1141,0,,0
2026-09-17,16,1,S,3連単,1-2-3,800,0.1117,0,,0
2026-09-17,16,1,S,3連単,1-3-4,500,0.0677,0,,0
2026-09-17,16,1,S,3連単,1-2-4,400,0.0634,0,,0
2026-09-17,8,5,S,2連単,1-2,1100,0.286,1,170,1870
2026-09-17,8,5,S,2連単,1-4,600,0.17,0,,0
2026-09-17,8,5,S,2連単,1-6,500,0.1344,0,,0
2026-09-17,8,5,S,2連単,2-1,300,0.0919,0,,0
2026-09-17,8,5,S,3連単,1-2-4,800,0.1133,0,,0
2026-09-17,8,5,S,3連単,1-2-6,600,0.0895,1,490,2940
2026-09-17,8,5,S,3連単,1-4-2,600,0.0892,0,,0
2026-09-17,8,5,S,3連単,1-6-2,500,0.0662,0,,0
2026-09-17,11,6,A,3連単,1-5-4,400,0.095,0,,0
2026-09-17,11,6,A,3連単,1-4-5,400,0.0846,0,,0
2026-09-17,11,6,A,3連単,1-5-2,400,0.0811,0,,0
2026-09-17,11,6,A,3連単,1-2-5,300,0.0687,0,,0
2026-09-17,11,6,A,3連単,1-5-3,300,0.0567,0,,0
2026-09-17,11,6,A,2連単,1-5,500,0.2384,0,,0
2026-09-17,11,6,A,2連単,1-4,400,0.1824,0,,0
2026-09-17,11,6,A,2連単,1-2,300,0.1558,1,640,1920
2026-09-17,23,1,A,3連単,1-2-4,600,0.1495,0,,0
2026-09-17,23,1,A,3連単,1-2-3,500,0.1236,0,,0
2026-09-17,23,1,A,3連単,1-4-2,400,0.0973,0,,0
2026-09-17,23,1,A,3連単,1-3-2,300,0.0768,0,,0
2026-09-17,23,1,A,3連単,1-2-6,200,0.0495,0,,0
2026-09-17,23,1,A,2連単,1-2,700,0.3551,0,,0
2026-09-17,23,1,A,2連単,1-4,300,0.1562,1,260,780
2026-09-19,17,1,A,3連単,1-3-2,400,0.1012,1,910,3640
2026-09-19,17,1,A,3連単,1-2-3,400,0.0947,0,,0
2026-09-19,17,1,A,3連単,1-3-4,300,0.0736,0,,0
2026-09-19,17,1,A,3連単,1-3-5,300,0.0671,0,,0
2026-09-19,17,1,A,3連単,1-4-3,300,0.0626,0,,0
2026-09-19,17,1,A,2連単,1-3,500,0.2532,1,290,1450
2026-09-19,17,1,A,2連単,1-2,500,0.2164,0,,0
2026-09-19,17,1,A,2連単,1-4,300,0.1575,0,,0
2026-09-19,2,7,A,3連単,1-4-3,400,0.1045,1,1640,6560
2026-09-19,2,7,A,3連単,1-3-4,400,0.1002,0,,0
2026-09-19,2,7,A,3連単,1-4-2,400,0.0829,0,,0
2026-09-19,2,7,A,3連単,1-2-4,300,0.0733,0,,0
2026-09-19,2,7,A,3連単,1-3-2,300,0.0723,0,,0
2026-09-19,2,7,A,2連単,1-4,500,0.2451,1,390,1950
2026-09-19,2,7,A,2連単,1-3,400,0.2229,0,,0
2026-09-19,2,7,A,2連単,1-2,300,0.1769,0,,0
2026-09-19,16,1,A,3連単,1-3-2,500,0.097,1,1180,5900
2026-09-19,16,1,A,3連単,1-2-3,500,0.0967,0,,0
2026-09-19,16,1,A,3連単,1-3-4,400,0.0707,0,,0
2026-09-19,16,1,A,3連単,1-2-4,300,0.07,0,,0
2026-09-19,16,1,A,2連単,1-3,400,0.2243,1,270,1080
2026-09-19,16,1,A,2連単,1-2,400,0.2229,0,,0
2026-09-19,16,1,A,2連単,1-4,300,0.1623,0,,0
2026-09-19,16,1,A,2連単,1-5,200,0.0734,0,,0
2026-09-19,12,1,S,2連単,1-2,900,0.2574,1,170,1530
2026-09-19,12,1,S,2連単,1-4,600,0.1914,0,,0
2026-09-19,12,1,S,2連単,1-5,400,0.1294,0,,0
2026-09-19,12,1,S,2連単,1-3,400,0.1257,0,,0
2026-09-19,12,1,S,3連単,1-2-4,800,0.1023,0,,0
2026-09-19,12,1,S,3連単,1-4-2,700,0.09,0,,0
2026-09-19,12,1,S,3連単,1-2-5,600,0.0691,0,,0
2026-09-19,12,1,S,3連単,1-2-3,600,0.0672,1,890,5340
2026-09-20,14,1,A,3連単,1-2-3,500,0.1252,0,,0
2026-09-20,14,1,A,3連単,1-3-2,500,0.1111,0,,0
2026-09-20,14,1,A,3連単,1-2-4,300,0.0675,0,,0
2026-09-20,14,1,A,3連単,1-2-5,200,0.0589,0,,0
2026-09-20,14,1,A,3連単,1-4-2,200,0.0508,0,,0
2026-09-20,14,1,A,2連単,1-2,600,0.2849,0,,0
2026-09-20,14,1,A,2連単,1-3,500,0.221,0,,0
2026-09-20,14,1,A,2連単,1-4,200,0.1192,0,,0
2026-09-20,17,1,A,3連単,1-3-2,800,0.1974,0,,0
2026-09-20,17,1,A,3連単,1-2-3,500,0.1319,0,,0
2026-09-20,17,1,A,3連単,1-3-4,400,0.1058,0,,0
2026-09-20,17,1,A,3連単,1-4-3,200,0.061,0,,0
2026-09-20,17,1,A,3連単,3-1-2,200,0.0527,0,,0
2026-09-20,17,1,A,2連単,1-3,600,0.3844,0,,0
2026-09-20,17,1,A,2連単,1-2,300,0.1954,0,,0
2026-09-20,10,1,A,3連単,1-2-5,400,0.1075,0,,0
2026-09-20,10,1,A,3連単,1-2-4,400,0.103,0,,0
2026-09-20,10,1,A,3連単,1-2-3,400,0.085,0,,0
2026-09-20,10,1,A,3連単,1-5-2,300,0.0734,0,,0
2026-09-20,10,1,A,3連単,1-4-2,300,0.0697,0,,0
2026-09-20,10,1,A,2連単,1-2,600,0.3262,0,,0
2026-09-20,10,1,A,2連単,1-5,300,0.1354,0,,0
2026-09-20,10,1,A,2連単,1-4,300,0.1297,0,,0
2026-09-20,16,1,S,2連単,1-2,1300,0.3176,0,,0
2026-09-20,16,1,S,2連単,1-4,700,0.1695,0,,0
2026-09-20,16,1,S,2連単,1-3,600,0.1545,0,,0
2026-09-20,16,1,S,2連単,2-1,400,0.0952,0,,0
2026-09-20,16,1,S,3連単,1-2-4,700,0.1291,0,,0
2026-09-20,16,1,S,3連単,1-2-3,700,0.1177,0,,0
2026-09-20,16,1,S,3連単,1-4-2,600,0.0952,0,,0
2026-09-20,14,7,A,3連単,1-2-3,400,0.0915,0,,0
2026-09-20,14,7,A,3連単,1-3-2,400,0.0832,0,,0
2026-09-20,14,7,A,3連単,1-2-6,300,0.0694,0,,0
2026-09-20,14,7,A,3連単,1-6-2,300,0.0582,0,,0
2026-09-20,14,7,A,3連単,1-3-6,200,0.0502,0,,0
2026-09-20,14,7,A,2連単,1-2,500,0.2382,0,,0
2026-09-20,14,7,A,2連単,1-3,400,0.1894,0,,0
2026-09-20,14,7,A,2連単,1-6,300,0.1436,0,,0
2026-09-20,14,7,A,2連単,1-4,200,0.0883,0,,0
2026-09-20,24,6,A,3連単,1-3-4,500,0.1109,0,,0
2026-09-20,24,6,A,3連単,1-4-3,400,0.094,0,,0
2026-09-20,24,6,A,3連単,1-3-2,300,0.0817,0,,0
2026-09-20,24,6,A,3連単,1-2-3,300,0.0634,0,,0
2026-09-20,24,6,A,3連単,1-4-2,200,0.0482,0,,0
2026-09-20,24,6,A,2連単,1-3,600,0.2693,0,,0
2026-09-20,24,6,A,2連単,1-4,400,0.1875,0,,0
2026-09-20,24,6,A,2連単,1-2,300,0.1381,0,,0
