racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
2538,高橋 二朗,263,0.2121,0.007246,0
2878,富山 弘幸,296,0.172,0.004766,0
3024,西島 義則,239,0.1614,0.005783,0
3054,北川 幸典,231,0.1723,0.005645,0
3070,山室 展弘,163,0.1582,0.00475,0
3072,西田 靖,282,0.1602,0.00457,0
3075,中村 裕将,292,0.1301,0.004414,0
3081,岡本 慎治,162,0.1709,0.005463,0
3105,内山 文典,273,0.1672,0.005248,0
3107,平岡 重典,214,0.1716,0.004902,0
3156,金子 良昭,257,0.1662,0.005255,0
3158,島川 光男,340,0.146,0.003759,0
3159,江口 晃生,223,0.153,0.004498,0
3161,古場 輝義,291,0.1808,0.005964,0
3175,渡辺 千草,255,0.1576,0.003975,0
3176,長谷川 巌,171,0.1871,0.005271,0
3202,三品 隆浩,282,0.2001,0.006658,0
3207,田村 美和,196,0.1765,0.006535,0
3211,北川 敏弘,275,0.1722,0.004862,0
3212,亀本 勇樹,254,0.1659,0.00564,0
3224,栗山 繁洋,279,0.1887,0.004976,0
3226,浦田 信義,287,0.1806,0.006086,0
3232,山川 美由紀,255,0.1594,0.003878,0
3233,小畑 実成,284,0.166,0.005001,0
3246,星野 政彦,125,0.157,0.006834,0
3251,平石 和男,401,0.1898,0.003473,0
3256,三角 哲男,343,0.1439,0.004408,0
3257,田頭 実,259,0.1342,0.00504,0
3265,今村 暢孝,282,0.1409,0.004316,0
3268,森 竜也,286,0.1637,0.003774,0
3273,石田 豪,51,0.1763,0.003584,0
3277,齋藤 勇,288,0.1719,0.004769,0
3282,池本 輝明,280,0.1939,0.005285,0
3284,渡邊 伸太郎,272,0.1928,0.006836,0
3286,坂東 満,201,0.1607,0.003865,0
3289,高橋 淳美,156,0.1901,0.007929,0
3293,宮内 由紀英,264,0.1936,0.005617,0
3294,野中 義生,245,0.1544,0.003804,0
3297,藤丸 光一,266,0.1974,0.00564,0
3300,川崎 智幸,334,0.1504,0.004259,0
3302,谷川 里江,207,0.1716,0.005175,0
3303,渡辺 豊,340,0.1975,0.005854,0
3304,烏野 賢太,369,0.1685,0.003769,0
3305,小野 信樹,263,0.1655,0.003012,0
3306,武田 正紀,265,0.1557,0.004707,0
3313,本吉 正樹,281,0.1759,0.005054,0
3315,広瀬 聖仁,225,0.1679,0.008484,0
3319,山崎 義明,291,0.1626,0.003238,0
3327,野長瀬 正孝,318,0.1626,0.005252,0
3333,丸尾 義孝,372,0.1469,0.003621,0
3334,角 ひとみ,348,0.1969,0.004518,0
3339,泉 具巳,262,0.1641,0.006436,0
3340,池田 雷太,305,0.185,0.005952,0
3346,宮本 裕之,120,0.1618,0.004828,0
3349,吉田 一郎,316,0.1588,0.004632,0
3350,藤本 佳史,291,0.1593,0.003944,0
3352,小川 晃司,288,0.1692,0.005661,0
3353,前田 光昭,167,0.1577,0.00852,0
3355,橋谷田 佳織,112,0.2578,0.006744,0
3357,福島 陽子,267,0.1991,0.005862,0
3361,岡部 浩,250,0.1753,0.005188,0
3362,間嶋 仁志,309,0.1875,0.005085,0
3370,坪内 実,244,0.1834,0.005627,0
3372,加藤 雅之,199,0.2098,0.00537,0
3377,塚田 修二,240,0.2012,0.006209,0
3381,滝沢 芳行,305,0.1432,0.004205,0
3385,渡邉 睦広,302,0.1564,0.004608,0
3388,今垣 光太郎,274,0.153,0.005463,0
3391,鈴木 茂正,27,0.1907,0.00494,0
3392,小森 信雄,279,0.1926,0.004649,0
3401,上田 隆章,269,0.2108,0.006076,0
3406,中里 英夫,342,0.1701,0.004387,0
3411,池上 隆行,258,0.1651,0.005362,0
3412,鈴木 博,371,0.1602,0.004003,0
3414,加瀬 智宏,79,0.1595,0.003296,0
3415,松井 繁,346,0.142,0.002815,0
3419,栗原 謙治,86,0.2135,0.006592,0
3422,服部 幸男,348,0.1494,0.00304,0
3430,角浜 修,305,0.1684,0.004,0
3432,宮迫 暢彦,272,0.1682,0.004948,0
3434,松尾 宣邦,301,0.1738,0.005391,0
3435,寺田 千恵,344,0.1555,0.004298,0
3436,柏野 幸二,281,0.1253,0.005136,0
3439,大平 誉史明,332,0.1548,0.002945,0
3441,土屋 太朗,294,0.1882,0.00517,0
3442,宮武 英司,281,0.1573,0.003369,0
3444,香月 大介,177,0.1662,0.00643,0
3445,加藤 高史,266,0.1808,0.006051,0
3448,高山 秀雄,224,0.1912,0.00561,0
3454,井川 大作,271,0.152,0.0047,0
3455,谷本 幸司,295,0.1714,0.006696,0
3458,東 健介,253,0.1586,0.004314,0
3459,中野 和裕,258,0.1631,0.006301,0
3461,渡邊 哲也,183,0.2031,0.007934,0
3462,竹上 真司,74,0.165,0.00552,0
3463,乙津 康志,283,0.1849,0.004631,0
3467,森 弘行,238,0.1792,0.005436,0
3470,新田 芳美,249,0.1699,0.004266,0
3471,赤峰 和也,258,0.1728,0.005377,0
3473,石川 真二,375,0.1364,0.003324,0
3474,松瀬 弘美,307,0.1766,0.005526,0
3475,橋本 久和,277,0.1862,0.005387,0
3477,近藤 稔也,273,0.1867,0.005593,0
3478,嶋田 貴支,309,0.1647,0.004329,0
3482,金子 猛志,372,0.1522,0.00323,0
3484,芝田 浩治,302,0.1684,0.004319,0
3489,大場 敏,407,0.1554,0.002873,0
3497,後藤 浩,261,0.1718,0.004062,0
3499,市川 哲也,335,0.1395,0.003482,0
3502,渡邉 英児,320,0.1681,0.004602,0
3503,堂原 洋史,289,0.1611,0.004074,0
3505,山田 竜一,333,0.1427,0.003787,0
3507,藤井 徹,232,0.198,0.005095,0
3508,久富 政弘,305,0.1918,0.004724,0
3509,池 千夏,222,0.1456,0.003463,0
3514,山一 鉄也,324,0.1662,0.003158,0
3516,吉原 聖人,266,0.1685,0.005009,0
3517,高橋 勲,305,0.147,0.005547,0
3518,倉田 郁美,230,0.1887,0.007101,0
3519,冨田 秀幸,273,0.1639,0.006587,0
3523,寳田 亮治,235,0.1911,0.006919,0
3527,中嶋 誠一郎,325,0.1638,0.005008,0
3528,笠野 友紀恵,241,0.1967,0.005307,0
3532,柴田 光,236,0.1512,0.005055,0
3535,渡 修平,266,0.1892,0.004991,0
3538,菊池 峰晴,183,0.2078,0.00567,0
3539,金子 順一,313,0.1785,0.003973,0
3541,三嶌 誠司,345,0.163,0.003766,0
3542,清水 紀克,279,0.1836,0.006255,0
3543,福田 雅一,233,0.1639,0.00357,0
3544,豊田 訓靖,209,0.195,0.0079,0
3546,中里 昌志,274,0.183,0.005736,0
3548,室田 泰史,370,0.1211,0.00279,0
3550,都築 正治,343,0.1596,0.004457,0
3551,藤田 美代,217,0.1816,0.006926,0
3553,平池 仁志,10,0.15,0.00252,0
3554,仲口 博崇,422,0.1825,0.00419,0
3556,田中 信一郎,362,0.1436,0.003559,0
3557,太田 和美,444,0.1466,0.004258,0
3558,山本 浩次,270,0.1548,0.005319,0
3562,山下 和彦,367,0.1648,0.004897,0
3563,堤 昇,327,0.1553,0.004368,0
3564,桑原 啓,303,0.1681,0.004116,0
3566,川添 英正,295,0.1873,0.003965,0
3567,吉岡 誠,207,0.1796,0.005802,0
3568,木村 光宏,277,0.1672,0.003805,0
3569,増田 進,298,0.1808,0.004144,0
3572,安田 政彦,335,0.1947,0.007002,0
3574,大神 康司,321,0.1543,0.004409,0
3576,白水 勝也,328,0.1634,0.005117,0
3577,向所 浩二,240,0.1513,0.005058,0
3578,塩田 雄一,200,0.184,0.007598,0
3579,中里 優子,217,0.1724,0.004973,0
3580,水口 由紀,279,0.19,0.006029,0
3581,加木 郁,301,0.1863,0.004744,0
3582,吉川 昭男,350,0.1594,0.004389,0
3583,齋藤 智裕,236,0.1877,0.005986,0
3584,佐々木 英樹,301,0.1733,0.003267,0
3587,武田 信一,285,0.1614,0.005616,0
3589,西村 勝,241,0.162,0.004604,0
3590,濱野谷 憲吾,370,0.1366,0.003696,0
3591,後藤 孝義,179,0.184,0.007522,0
3596,河上 年昭,237,0.1684,0.005857,0
3600,玄馬 徹,49,0.2061,0.007546,0
3602,奥平 拓也,261,0.1873,0.00619,0
3604,武藤 綾子,256,0.193,0.004419,0
3605,中村 守成,260,0.1882,0.005157,0
3606,川北 浩貴,332,0.1675,0.003712,0
3611,岩崎 芳美,299,0.1411,0.003633,0
3612,馬袋 義則,408,0.1365,0.003551,0
3613,角谷 健吾,372,0.1474,0.003654,0
3614,谷 勝幸,320,0.1674,0.003773,0
3615,横田 茂,308,0.1566,0.003223,0
3616,中村 真,260,0.1571,0.004951,0
3617,竹田 広樹,267,0.1869,0.005237,0
3618,海野 ゆかり,340,0.174,0.005416,0
3619,長谷川 充,301,0.1838,0.003217,0
3620,信濃 由行,263,0.176,0.004022,0
3621,天野 晶夫,236,0.1714,0.004659,0
3623,深川 真二,340,0.1409,0.004833,0
3627,井上 恵一,318,0.1829,0.005,0
3629,浅見 昌克,313,0.1413,0.004786,0
3630,黒田 誠司,187,0.1653,0.004389,0
3631,田添 康介,144,0.1753,0.009736,0
3635,石田 政吾,298,0.1631,0.003703,0
3637,齋藤 和政,262,0.1807,0.005059,0
3641,一瀬 明,359,0.1691,0.003855,0
3642,大塚 浩二,238,0.1835,0.006626,0
3643,米田 隆弘,303,0.1746,0.003734,0
3645,淺田 千亜希,130,0.1415,0.004179,0
3647,伊藤 雄二,284,0.1731,0.005899,0
3652,森下 勇,245,0.1818,0.007116,0
3653,品川 賢次,199,0.1966,0.007055,0
3654,武田 光史,324,0.1537,0.004703,0
3655,本橋 克洋,341,0.1808,0.003621,0
3656,伯母 芳恒,257,0.1683,0.004476,0
3659,藤生 雄人,269,0.1659,0.003919,0
3660,長谷川 親王,247,0.2011,0.005114,0
3661,柳瀬 興志,337,0.168,0.003956,0
3662,大庭 元明,335,0.1634,0.005397,0
3663,木山 和幸,347,0.1678,0.00398,0
3664,鈴木 賢一,278,0.1715,0.004129,0
3679,飯島 昌弘,362,0.1507,0.004175,0
3680,森林 太,294,0.1988,0.006632,0
3681,山谷 央,239,0.1514,0.003861,0
3684,清水 攻二,302,0.1775,0.007537,0
3685,荒井 輝年,293,0.1582,0.005941,0
3686,鳥居塚 孝博,337,0.1459,0.003631,0
3687,花田 和明,266,0.162,0.006515,0
3690,河合 三弘,304,0.185,0.003776,0
3692,竹腰 正樹,293,0.1463,0.005179,0
3696,白井 友晴,297,0.1765,0.003089,0
3699,富永 正人,253,0.1812,0.005467,0
3701,大西 隆洋,264,0.1619,0.006117,0
3702,貞兼 淳二,8,0.1638,0.014798,1
3703,鳥飼 眞,302,0.1725,0.004209,0
3704,本部 めぐみ,207,0.2224,0.007072,0
3708,岡部 貴司,302,0.1552,0.005048,0
3710,吉永 泰弘,294,0.172,0.004025,0
3711,江本 真治,393,0.1532,0.00297,0
3712,淺香 文武,287,0.1541,0.003792,0
3713,伊藤 誠二,308,0.1512,0.003487,0
3714,梶原 正,287,0.1522,0.003677,0
3715,倉尾 大介,252,0.1608,0.005006,0
3716,石渡 鉄兵,334,0.1269,0.003161,0
3717,立間 充宏,257,0.1596,0.005039,0
3718,伊達 正利,296,0.1725,0.00342,0
3719,辻 栄蔵,344,0.1483,0.003771,0
3721,守田 俊介,339,0.121,0.002859,0
3722,西村 秀樹,262,0.175,0.004325,0
3726,桂林 寛,179,0.1587,0.005417,0
3730,塩崎 優司,308,0.1677,0.004546,0
3731,高濱 芳久,299,0.1799,0.004245,0
