stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
1,1,10,1157,578,0.4996,557,0.4814,0
1,1,12,205,85,0.4146,81,0.3951,0
1,1,14,28,13,0.4643,13,0.4643,0
1,1,17,337,181,0.5371,173,0.5134,0
1,1,2,419,216,0.5155,206,0.4916,0
1,1,4,477,218,0.457,203,0.4256,0
1,1,6,234,139,0.594,133,0.5684,0
1,1,8,468,231,0.4936,226,0.4829,0
1,2,10,1157,129,0.1115,0,0.0,0
1,2,12,205,32,0.1561,0,0.0,0
1,2,14,28,0,0.0,0,0.0,0
1,2,17,337,34,0.1009,0,0.0,0
1,2,2,419,51,0.1217,0,0.0,0
1,2,4,477,72,0.1509,0,0.0,0
1,2,6,234,20,0.0855,0,0.0,0
1,2,8,468,56,0.1197,0,0.0,0
1,3,10,1157,152,0.1314,0,0.0,0
1,3,12,205,28,0.1366,0,0.0,0
1,3,14,28,9,0.3214,0,0.0,0
1,3,17,337,43,0.1276,0,0.0,0
1,3,2,419,51,0.1217,0,0.0,0
1,3,4,477,65,0.1363,0,0.0,0
1,3,6,234,32,0.1368,0,0.0,0
1,3,8,468,58,0.1239,0,0.0,0
1,4,10,1157,167,0.1443,0,0.0,0
1,4,12,205,30,0.1463,0,0.0,0
1,4,14,28,5,0.1786,0,0.0,0
1,4,17,337,37,0.1098,0,0.0,0
1,4,2,419,45,0.1074,0,0.0,0
1,4,4,477,71,0.1488,0,0.0,0
1,4,6,234,19,0.0812,0,0.0,0
1,4,8,468,72,0.1538,0,0.0,0
1,5,10,1157,105,0.0908,0,0.0,0
1,5,12,205,27,0.1317,0,0.0,0
1,5,14,28,1,0.0357,0,0.0,0
1,5,17,336,37,0.1101,0,0.0,0
1,5,2,419,43,0.1026,0,0.0,0
1,5,4,477,39,0.0818,0,0.0,0
1,5,6,234,13,0.0556,0,0.0,0
1,5,8,468,35,0.0748,0,0.0,0
1,6,10,1151,26,0.0226,0,0.0,0
1,6,12,203,3,0.0148,0,0.0,0
1,6,14,28,0,0.0,0,0.0,0
1,6,17,332,5,0.0151,0,0.0,0
1,6,2,410,13,0.0317,0,0.0,0
1,6,4,473,12,0.0254,0,0.0,0
1,6,6,234,10,0.0427,0,0.0,0
1,6,8,467,16,0.0343,0,0.0,0
10,1,10,38,25,0.6579,24,0.6316,0
10,1,12,1008,525,0.5208,500,0.496,0
10,1,14,135,67,0.4963,64,0.4741,0
10,1,16,118,56,0.4746,56,0.4746,0
10,1,17,76,41,0.5395,38,0.5,0
10,1,2,529,272,0.5142,267,0.5047,0
10,1,4,792,396,0.5,378,0.4773,0
10,1,6,466,254,0.5451,234,0.5021,0
10,1,8,66,42,0.6364,40,0.6061,0
10,2,10,38,5,0.1316,0,0.0,0
10,2,12,1008,142,0.1409,0,0.0,0
10,2,14,135,24,0.1778,0,0.0,0
10,2,16,118,22,0.1864,0,0.0,0
10,2,17,76,9,0.1184,0,0.0,0
10,2,2,529,65,0.1229,0,0.0,0
10,2,4,792,134,0.1692,0,0.0,0
10,2,6,466,69,0.1481,0,0.0,0
10,2,8,66,10,0.1515,0,0.0,0
10,3,10,38,5,0.1316,0,0.0,0
10,3,12,1008,135,0.1339,0,0.0,0
10,3,14,135,20,0.1481,0,0.0,0
10,3,16,118,14,0.1186,0,0.0,0
10,3,17,76,8,0.1053,0,0.0,0
10,3,2,529,80,0.1512,0,0.0,0
10,3,4,792,126,0.1591,0,0.0,0
10,3,6,466,74,0.1588,0,0.0,0
10,3,8,66,7,0.1061,0,0.0,0
10,4,10,38,3,0.0789,0,0.0,0
10,4,12,1008,111,0.1101,0,0.0,0
10,4,14,135,13,0.0963,0,0.0,0
10,4,16,118,14,0.1186,0,0.0,0
10,4,17,76,11,0.1447,0,0.0,0
10,4,2,529,62,0.1172,0,0.0,0
10,4,4,792,81,0.1023,0,0.0,0
10,4,6,466,36,0.0773,0,0.0,0
10,4,8,66,3,0.0455,0,0.0,0
10,5,10,38,0,0.0,0,0.0,0
10,5,12,1007,69,0.0685,0,0.0,0
10,5,14,135,7,0.0519,0,0.0,0
10,5,16,118,10,0.0847,0,0.0,0
10,5,17,76,6,0.0789,0,0.0,0
10,5,2,529,39,0.0737,0,0.0,0
10,5,4,792,47,0.0593,0,0.0,0
10,5,6,466,24,0.0515,0,0.0,0
10,5,8,66,3,0.0455,0,0.0,0
10,6,10,37,0,0.0,0,0.0,0
10,6,12,1001,26,0.026,0,0.0,0
10,6,14,134,4,0.0299,0,0.0,0
10,6,16,116,2,0.0172,0,0.0,0
10,6,17,74,1,0.0135,0,0.0,0
10,6,2,522,11,0.0211,0,0.0,0
10,6,4,786,8,0.0102,0,0.0,0
10,6,6,463,9,0.0194,0,0.0,0
10,6,8,66,1,0.0152,0,0.0,0
11,1,1,61,27,0.4426,26,0.4262,0
11,1,11,106,64,0.6038,63,0.5943,0
11,1,13,312,148,0.4744,142,0.4551,0
11,1,15,464,233,0.5022,225,0.4849,0
11,1,17,280,146,0.5214,142,0.5071,0
11,1,3,198,103,0.5202,100,0.5051,0
11,1,5,289,163,0.564,154,0.5329,0
11,1,7,1413,749,0.5301,716,0.5067,0
11,1,9,191,101,0.5288,100,0.5236,0
11,2,1,61,9,0.1475,0,0.0,0
11,2,11,106,12,0.1132,0,0.0,0
11,2,13,312,41,0.1314,0,0.0,0
11,2,15,464,63,0.1358,0,0.0,0
11,2,17,280,32,0.1143,0,0.0,0
11,2,3,198,26,0.1313,0,0.0,0
11,2,5,289,33,0.1142,0,0.0,0
11,2,7,1413,201,0.1423,0,0.0,0
11,2,9,191,32,0.1675,0,0.0,0
11,3,1,61,14,0.2295,0,0.0,0
11,3,11,106,14,0.1321,0,0.0,0
11,3,13,312,48,0.1538,0,0.0,0
11,3,15,464,65,0.1401,0,0.0,0
11,3,17,280,35,0.125,0,0.0,0
11,3,3,198,29,0.1465,0,0.0,0
11,3,5,289,39,0.1349,0,0.0,0
11,3,7,1413,215,0.1522,0,0.0,0
11,3,9,191,23,0.1204,0,0.0,0
11,4,1,61,8,0.1311,0,0.0,0
11,4,11,106,13,0.1226,0,0.0,0
11,4,13,312,32,0.1026,0,0.0,0
11,4,15,464,49,0.1056,0,0.0,0
11,4,17,280,36,0.1286,0,0.0,0
11,4,3,198,17,0.0859,0,0.0,0
11,4,5,289,31,0.1073,0,0.0,0
11,4,7,1413,141,0.0998,0,0.0,0
11,4,9,191,24,0.1257,0,0.0,0
11,5,1,61,3,0.0492,0,0.0,0
11,5,11,106,3,0.0283,0,0.0,0
11,5,13,312,28,0.0897,0,0.0,0
11,5,15,464,43,0.0927,0,0.0,0
11,5,17,280,24,0.0857,0,0.0,0
11,5,3,198,19,0.096,0,0.0,0
11,5,5,289,18,0.0623,0,0.0,0
11,5,7,1413,89,0.063,0,0.0,0
11,5,9,191,8,0.0419,0,0.0,0
11,6,1,61,0,0.0,0,0.0,0
11,6,11,103,0,0.0,0,0.0,0
11,6,13,309,15,0.0485,0,0.0,0
11,6,15,458,11,0.024,0,0.0,0
11,6,17,274,7,0.0255,0,0.0,0
11,6,3,196,4,0.0204,0,0.0,0
11,6,5,286,5,0.0175,0,0.0,0
11,6,7,1397,18,0.0129,0,0.0,0
11,6,9,186,3,0.0161,0,0.0,0
12,1,11,484,257,0.531,243,0.5021,0
12,1,13,500,258,0.516,245,0.49,0
12,1,17,1190,672,0.5647,646,0.5429,0
12,1,5,762,452,0.5932,437,0.5735,0
12,1,7,364,215,0.5907,203,0.5577,0
12,2,11,484,59,0.1219,0,0.0,0
12,2,13,500,72,0.144,0,0.0,0
12,2,17,1190,177,0.1487,0,0.0,0
12,2,5,762,105,0.1378,0,0.0,0
12,2,7,364,53,0.1456,0,0.0,0
12,3,11,484,67,0.1384,0,0.0,0
12,3,13,500,80,0.16,0,0.0,0
12,3,17,1190,131,0.1101,0,0.0,0
12,3,5,762,81,0.1063,0,0.0,0
12,3,7,364,38,0.1044,0,0.0,0
12,4,11,484,60,0.124,0,0.0,0
12,4,13,500,53,0.106,0,0.0,0
12,4,17,1190,121,0.1017,0,0.0,0
12,4,5,762,73,0.0958,0,0.0,0
12,4,7,364,41,0.1126,0,0.0,0
12,5,11,484,29,0.0599,0,0.0,0
12,5,13,500,28,0.056,0,0.0,0
12,5,17,1190,69,0.058,0,0.0,0
12,5,5,762,40,0.0525,0,0.0,0
12,5,7,364,15,0.0412,0,0.0,0
12,6,11,482,12,0.0249,0,0.0,0
12,6,13,496,9,0.0181,0,0.0,0
12,6,17,1178,19,0.0161,0,0.0,0
12,6,5,755,11,0.0146,0,0.0,0
12,6,7,357,2,0.0056,0,0.0,0
13,1,10,267,163,0.6105,155,0.5805,0
13,1,12,1010,610,0.604,590,0.5842,0
13,1,14,747,447,0.5984,437,0.585,0
13,1,16,133,73,0.5489,70,0.5263,0
13,1,17,288,170,0.5903,164,0.5694,0
13,1,2,54,29,0.537,27,0.5,0
13,1,4,336,193,0.5744,185,0.5506,0
13,1,6,266,141,0.5301,135,0.5075,0
13,1,8,77,40,0.5195,40,0.5195,0
13,2,10,267,30,0.1124,0,0.0,0
13,2,12,1010,105,0.104,0,0.0,0
13,2,14,747,63,0.0843,0,0.0,0
13,2,16,133,17,0.1278,0,0.0,0
13,2,17,288,41,0.1424,0,0.0,0
13,2,2,54,9,0.1667,0,0.0,0
13,2,4,336,52,0.1548,0,0.0,0
13,2,6,266,56,0.2105,0,0.0,0
13,2,8,77,16,0.2078,0,0.0,0
13,3,10,267,32,0.1199,0,0.0,0
13,3,12,1010,114,0.1129,0,0.0,0
13,3,14,747,93,0.1245,0,0.0,0
13,3,16,133,18,0.1353,0,0.0,0
13,3,17,288,33,0.1146,0,0.0,0
13,3,2,54,9,0.1667,0,0.0,0
13,3,4,336,47,0.1399,0,0.0,0
13,3,6,266,21,0.0789,0,0.0,0
13,3,8,77,7,0.0909,0,0.0,0
13,4,10,267,26,0.0974,0,0.0,0
13,4,12,1010,113,0.1119,0,0.0,0
13,4,14,747,79,0.1058,0,0.0,0
13,4,16,133,12,0.0902,0,0.0,0
13,4,17,288,24,0.0833,0,0.0,0
13,4,2,54,5,0.0926,0,0.0,0
13,4,4,336,22,0.0655,0,0.0,0
13,4,6,266,33,0.1241,0,0.0,0
13,4,8,77,6,0.0779,0,0.0,0
13,5,10,267,10,0.0375,0,0.0,0
13,5,12,1010,55,0.0545,0,0.0,0
13,5,14,747,48,0.0643,0,0.0,0
13,5,16,133,11,0.0827,0,0.0,0
13,5,17,288,12,0.0417,0,0.0,0
13,5,2,54,2,0.037,0,0.0,0
13,5,4,335,18,0.0537,0,0.0,0
